,video,method,metric_name,metric_value
1,boxing-fisheye,Our Result,PSNR,22.45946437
2,longboard,Our Result,PSNR,23.17543981
3,lady-running,Our Result,PSNR,23.28711185
4,cat-girl,Our Result,PSNR,23.44156823
5,walking,Our Result,PSNR,23.79523242
6,scooter-black,Our Result,PSNR,24.75234348
7,dogs-scale,Our Result,PSNR,24.95421531
8,rallye,Our Result,PSNR,26.45567675
9,motorbike,Our Result,PSNR,26.80093306
10,drift-straight,Our Result,PSNR,27.146376
11,mallard-water,Our Result,PSNR,27.32239989
12,scooter-board,Our Result,PSNR,27.54440843
13,bear,Our Result,PSNR,27.69848778
14,varanus-cage,Our Result,PSNR,28.11854364
15,horsejump-low,Our Result,PSNR,28.59935869
16,schoolgirls,Our Result,PSNR,29.10266918
17,car-turn,Our Result,PSNR,29.24943136
18,motocross-jump,Our Result,PSNR,29.28419786
19,car-shadow,Our Result,PSNR,29.29894943
20,tennis,Our Result,PSNR,29.61788242
21,crossing,Our Result,PSNR,29.6874951
22,bus,Our Result,PSNR,29.90457556
23,motocross-bumps,Our Result,PSNR,30.24444591
24,train,Our Result,PSNR,30.44766941
25,camel,Our Result,PSNR,30.49692699
26,breakdance,Our Result,PSNR,30.56578757
27,mallard-fly,Our Result,PSNR,30.57924797
28,upside-down,Our Result,PSNR,30.6543494
29,classic-car,Our Result,PSNR,30.78573267
30,gold-fish,Our Result,PSNR,30.78642464
31,bike-packing,Our Result,PSNR,30.84500621
32,paragliding-launch,Our Result,PSNR,30.86882583
33,bmx-trees,Our Result,PSNR,30.94963804
34,flamingo,Our Result,PSNR,30.9737486
35,tractor-sand,Our Result,PSNR,30.9952335
36,dogs-jump,Our Result,PSNR,31.20658682
37,horsejump-high,Our Result,PSNR,31.36191853
38,dog-agility,Our Result,PSNR,31.44416327
39,disc-jockey,Our Result,PSNR,31.5913992
40,hike,Our Result,PSNR,31.73158417
41,miami-surf,Our Result,PSNR,31.88640991
42,dance-jump,Our Result,PSNR,31.93253211
43,lindy-hop,Our Result,PSNR,32.0725525
44,tuk-tuk,Our Result,PSNR,32.09584282
45,judo,Our Result,PSNR,32.10486845
46,blackswan,Our Result,PSNR,32.27996607
47,boat,Our Result,PSNR,32.31894575
48,car-roundabout,Our Result,PSNR,32.33772798
49,loading,Our Result,PSNR,32.35115905
50,night-race,Our Result,PSNR,32.36733056
51,dancing,Our Result,PSNR,32.40679395
52,paragliding,Our Result,PSNR,32.5315551
53,kite-walk,Our Result,PSNR,32.53983814
54,libby,Our Result,PSNR,32.64675823
55,drift-turn,Our Result,PSNR,32.73534735
56,rollerblade,Our Result,PSNR,32.76073742
57,kid-football,Our Result,PSNR,32.9288188
58,drift-chicane,Our Result,PSNR,33.11712102
59,lucia,Our Result,PSNR,33.32348327
60,color-run,Our Result,PSNR,33.40038886
61,lab-coat,Our Result,PSNR,33.72673429
62,hockey,Our Result,PSNR,33.83188831
63,elephant,Our Result,PSNR,34.021636
64,dog-gooses,Our Result,PSNR,34.17712282
65,planes-water,Our Result,PSNR,34.87148068
66,india,Our Result,PSNR,35.05921401
67,dog,Our Result,PSNR,35.06715079
68,swing,Our Result,PSNR,35.1629885
69,kite-surf,Our Result,PSNR,36.17648477
70,mbike-trick,Our Result,PSNR,36.66294276
71,pigs,Our Result,PSNR,37.67918434
