index,ch1,ch2,ch3,ch4,ch5,acc
0,4.0,8.0,16.0,32.0,64.0,-2.38591
1,16.0,32.0,64.0,128.0,256.0,-1.27486
2,24.0,16.0,96.0,64.0,384.0,-1.2356
3,8.0,48.0,32.0,192.0,128.0,-1.74706
4,12.0,24.0,80.0,32.0,448.0,-1.39086
5,28.0,56.0,16.0,160.0,192.0,-1.16283
6,20.0,8.0,48.0,96.0,64.0,-1.46797
7,4.0,40.0,112.0,224.0,320.0,-1.94618
8,8.0,24.0,48.0,160.0,256.0,-1.60174
9,20.0,48.0,96.0,64.0,64.0,-1.24359
10,28.0,8.0,64.0,224.0,192.0,-1.25427
11,16.0,32.0,16.0,128.0,384.0,-1.35817
12,12.0,16.0,112.0,128.0,256.0,-1.34278
13,24.0,40.0,64.0,32.0,448.0,-1.16298
14,16.0,32.0,32.0,192.0,320.0,-1.32005
15,4.0,56.0,80.0,96.0,128.0,-1.80927
16,4.0,32.0,96.0,96.0,128.0,-1.90475
17,20.0,56.0,48.0,224.0,384.0,-1.12989
18,24.0,16.0,16.0,64.0,256.0,-1.44188
19,12.0,48.0,80.0,160.0,64.0,-1.29767
20,16.0,8.0,64.0,64.0,320.0,-1.43591
21,28.0,40.0,112.0,192.0,128.0,-1.14962
22,24.0,24.0,96.0,32.0,192.0,-1.10265
23,8.0,48.0,32.0,128.0,448.0,-1.54815
24,8.0,16.0,64.0,192.0,384.0,-1.45884
25,20.0,40.0,16.0,96.0,192.0,-1.32805
26,28.0,24.0,32.0,160.0,64.0,-1.17146
27,12.0,56.0,96.0,32.0,320.0,-1.47254
28,8.0,16.0,32.0,224.0,128.0,-1.72737
29,24.0,48.0,80.0,128.0,384.0,-1.16394
30,16.0,8.0,112.0,192.0,448.0,-1.38542
31,4.0,32.0,48.0,64.0,256.0,-2.03255
32,4.0,16.0,80.0,160.0,320.0,-2.00668
33,16.0,48.0,16.0,32.0,128.0,-1.44018
34,24.0,8.0,48.0,192.0,256.0,-1.48402
35,12.0,32.0,112.0,96.0,448.0,-1.36875
36,12.0,8.0,32.0,160.0,192.0,-1.60482
37,28.0,40.0,96.0,64.0,384.0,-1.09762
38,20.0,24.0,112.0,224.0,320.0,-1.20357
39,8.0,56.0,64.0,128.0,64.0,-1.36067
40,8.0,8.0,96.0,32.0,64.0,-1.63517
41,24.0,40.0,48.0,160.0,320.0,-1.16419
42,28.0,24.0,16.0,96.0,448.0,-1.26109
43,16.0,48.0,64.0,224.0,192.0,-1.16332
44,12.0,32.0,48.0,32.0,384.0,-1.35541
45,28.0,56.0,112.0,128.0,128.0,-1.03183
46,20.0,16.0,80.0,64.0,64.0,-1.3844
47,4.0,40.0,32.0,192.0,256.0,-1.93727
48,4.0,16.0,32.0,224.0,448.0,-2.02182
49,20.0,48.0,96.0,128.0,256.0,-1.12707
50,24.0,32.0,64.0,192.0,128.0,-1.23196
51,12.0,56.0,16.0,64.0,384.0,-1.45328
52,16.0,24.0,112.0,224.0,64.0,-1.18759
53,28.0,56.0,48.0,96.0,320.0,-1.15844
54,20.0,8.0,16.0,160.0,448.0,-1.54356
55,8.0,40.0,80.0,32.0,192.0,-1.4257
56,4.0,24.0,16.0,96.0,192.0,-2.15589
