,video,method,scenario,name,value
0,0,kim,fixed,psnr,5
1,0,kim,removal,psnr,2
2,0,kim,synth,psnr,5
3,0,kim,fixed,ssim,7
4,0,kim,removal,ssim,1
5,0,kim,synth,ssim,8
6,0,kim,fixed,lpips,2
7,0,kim,removal,lpips,1
8,0,kim,synth,lpips,9
9,0,newson,fixed,psnr,5
10,0,newson,removal,psnr,1
11,0,newson,synth,psnr,7
12,0,newson,fixed,ssim,2
13,0,newson,removal,ssim,9
14,0,newson,synth,ssim,2
15,0,newson,fixed,lpips,4
16,0,newson,removal,lpips,0
17,0,newson,synth,lpips,5
18,0,xu,fixed,psnr,7
19,0,xu,removal,psnr,4
20,0,xu,synth,psnr,5
21,0,xu,fixed,ssim,4
22,0,xu,removal,ssim,3
23,0,xu,synth,ssim,2
24,0,xu,fixed,lpips,8
25,0,xu,removal,lpips,9
26,0,xu,synth,lpips,7
27,0,lee,fixed,psnr,5
28,0,lee,removal,psnr,6
29,0,lee,synth,psnr,1
30,0,lee,fixed,ssim,7
31,0,lee,removal,ssim,9
32,0,lee,synth,ssim,2
33,0,lee,fixed,lpips,0
34,0,lee,removal,lpips,7
35,0,lee,synth,lpips,4
36,0,huang,fixed,psnr,3
37,0,huang,removal,psnr,2
38,0,huang,synth,psnr,7
39,0,huang,fixed,ssim,3
40,0,huang,removal,ssim,8
41,0,huang,synth,ssim,0
42,0,huang,fixed,lpips,0
43,0,huang,removal,lpips,2
44,0,huang,synth,lpips,9
45,0,oh,fixed,psnr,3
46,0,oh,removal,psnr,6
47,0,oh,synth,psnr,5
48,0,oh,fixed,ssim,2
49,0,oh,removal,ssim,5
50,0,oh,synth,ssim,9
51,0,oh,fixed,lpips,9
52,0,oh,removal,lpips,8
53,0,oh,synth,lpips,8
54,0,ours,fixed,psnr,3
55,0,ours,removal,psnr,2
56,0,ours,synth,psnr,4
57,0,ours,fixed,ssim,2
58,0,ours,removal,ssim,7
59,0,ours,synth,ssim,7
60,0,ours,fixed,lpips,7
61,0,ours,removal,lpips,6
62,0,ours,synth,lpips,9
63,1,kim,fixed,psnr,7
64,1,kim,removal,psnr,3
65,1,kim,synth,psnr,4
66,1,kim,fixed,ssim,1
67,1,kim,removal,ssim,6
68,1,kim,synth,ssim,3
69,1,kim,fixed,lpips,2
70,1,kim,removal,lpips,3
71,1,kim,synth,lpips,9
