SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-5-2020,Single Family Residential,2047 NE 98th St,Seattle,WA,98115,675000,3,2.0,Maple Leaf,1620,8700,1951,191,417,,Sold,,,http://www.redfin.com/WA/Seattle/2047-NE-98th-St-98115/home/107785,NWMLS,1560968,N,Y,47.7000084,-122.3047776
PAST SALE,July-29-2020,Single Family Residential,4817 25th Ave SW,Seattle,WA,98106,780000,5,3.25,West Seattle,2320,6000,2010,45,336,,Sold,,,http://www.redfin.com/WA/Seattle/4817-25th-Ave-SW-98106/home/18665258,NWMLS,1619459,N,Y,47.5587358,-122.3645444
PAST SALE,August-18-2020,Single Family Residential,8433 9th Ave SW,Seattle,WA,98106,450000,2,1.0,Highland Park,864,7320,1918,25,521,,Sold,,,http://www.redfin.com/WA/Seattle/8433-9th-Ave-SW-98106/home/475334,NWMLS,1641458,N,Y,47.5273082,-122.3470739
PAST SALE,September-27-2019,Single Family Residential,8115 5th Ave SW,Seattle,WA,98106,685000,5,2.5,Highland Park,2550,7650,1996,351,269,,Sold,,,http://www.redfin.com/WA/Seattle/8115-5th-Ave-SW-98106/home/474453,NWMLS,1498791,N,Y,47.5295835,-122.3419967
PAST SALE,January-15-2020,Single Family Residential,5705 S 121st St,Seattle,WA,98178,470000,4,1.5,Seattle,1900,8528,1961,241,247,,Sold,,,http://www.redfin.com/WA/Seattle/5705-S-121st-St-98178/home/196866,NWMLS,1526985,N,Y,47.4946327,-122.260881
PAST SALE,May-29-2020,Single Family Residential,3206 22nd Ave W,Seattle,WA,98199,840000,3,2.25,Magnolia,1560,6000,1944,106,538,,Sold,,,http://www.redfin.com/WA/Seattle/3206-22nd-Ave-W-98199/home/123114,NWMLS,1593208,N,Y,47.6487843,-122.3844151
PAST SALE,August-21-2020,Single Family Residential,2840 SW Nevada St,Seattle,WA,98126,575000,3,2.0,Delridge,1290,2550,1998,22,446,,Sold,,,http://www.redfin.com/WA/Seattle/2840-SW-Nevada-St-98126/home/159586,NWMLS,1633583,N,Y,47.5656507,-122.3699186
PAST SALE,,Multi-Family (2-4 Unit),9018 9th Ave NW,Seattle,WA,98117,691000,3,2.0,,1600,6405,1938,,432,,,,,http://www.redfin.com/WA/Seattle/9018-9th-Ave-NW-98117/home/100713,,,N,Y,47.6948309,-122.3684225
PAST SALE,July-9-2020,Single Family Residential,3849 34th Ave SW,Seattle,WA,98126,850000,3,2.75,Genesee,2160,4000,1926,65,394,,Sold,,,http://www.redfin.com/WA/Seattle/3849-34th-Ave-SW-98126/home/329316,NWMLS,1610682,N,Y,47.5686328,-122.3753499
PAST SALE,July-13-2020,Single Family Residential,3738 38th Ave SW,Seattle,WA,98126,1490000,4,3.25,Belvidere,3417,7500,1913,61,436,,Sold,,,http://www.redfin.com/WA/Seattle/3738-38th-Ave-SW-98126/home/327745,NWMLS,1601308,N,Y,47.570138,-122.3804713
PAST SALE,July-31-2020,Single Family Residential,6547 26th Ave NW,Seattle,WA,98117,600000,2,1.0,Ballard,1090,3825,1900,43,550,,Sold,,,http://www.redfin.com/WA/Seattle/6547-26th-Ave-NW-98117/home/167132,NWMLS,1633904,N,Y,47.6772338,-122.3899354
PAST SALE,May-14-2020,Single Family Residential,1554 S Pearl St,Seattle,WA,98108,542000,3,1.75,Beacon Hill,1480,7263,1906,121,366,,Sold,,,http://www.redfin.com/WA/Seattle/1554-S-Pearl-St-98108/home/2069839,NWMLS,1589916,N,Y,47.5572246,-122.3111016
PAST SALE,September-10-2020,Single Family Residential,8826 10th Ave SW,Seattle,WA,98106,566500,3,1.0,Highland Park,1310,4760,1965,2,432,,Sold,,,http://www.redfin.com/WA/Seattle/8826-10th-Ave-SW-98106/home/476426,NWMLS,1637270,N,Y,47.5238612,-122.347669
PAST SALE,September-30-2019,Single Family Residential,724 N 83rd St,Seattle,WA,98103,1715000,5,3.5,Green Lake,3170,6120,2016,348,541,,Sold,,,http://www.redfin.com/WA/Seattle/724-N-83rd-St-98103/home/301788,NWMLS,1503845,N,Y,47.689301,-122.3488239
PAST SALE,August-24-2020,Single Family Residential,5724 Princeton Ave NE,Seattle,WA,98105,1249999,4,2.75,Hawthorne Hills,3470,4392,1931,19,360,,Sold,,,http://www.redfin.com/WA/Seattle/5724-Princeton-Ave-NE-98105/home/320216,NWMLS,1618545,N,Y,47.671378,-122.2757747
PAST SALE,November-7-2019,Single Family Residential,10736 Densmore Ave N,Seattle,WA,98133,667000,4,1.75,Seattle,1840,9250,1956,310,363,,Sold,,,http://www.redfin.com/WA/Seattle/10736-Densmore-Ave-N-98133/home/104709,NWMLS,1524812,N,Y,47.7079553,-122.337197
PAST SALE,April-30-2020,Single Family Residential,611 101st St,Seattle,WA,98133,790000,2,1.75,Greenwood,1790,3844,1987,135,441,,Sold,,,http://www.redfin.com/WA/Seattle/611-N-101st-St-98133/home/98354,NWMLS,1597941,N,Y,47.7020064,-122.3504177
PAST SALE,December-18-2019,Single Family Residential,120 N 77th St,Seattle,WA,98103,1155000,3,3.25,Greenwood,2630,3090,1914,269,439,,Sold,,,http://www.redfin.com/WA/Seattle/120-N-77th-St-98103/home/21883878,NWMLS,1532172,N,Y,47.6849371,-122.3570883
PAST SALE,June-30-2020,Single Family Residential,3830 NE 123rd St,Seattle,WA,98125,565000,3,1.0,Meadowbrook,1010,5291,1932,74,559,,Sold,,,http://www.redfin.com/WA/Seattle/3830-NE-123rd-St-98125/home/111015,NWMLS,1610533,N,Y,47.7175257,-122.2861325
PAST SALE,August-11-2020,Single Family Residential,10358 44th Ave NE,Seattle,WA,98125,830000,3,2.5,Matthews Beach,1860,8103,1959,32,446,,Sold,,,http://www.redfin.com/WA/Seattle/10358-44th-Ave-NE-98125/home/113535,NWMLS,1618193,N,Y,47.7037715,-122.2809525
PAST SALE,May-22-2020,Single Family Residential,2329 B NE 123rd St,Seattle,WA,98125,725000,4,2.25,Victory Heights,2100,9060,1964,113,345,,Sold,,,http://www.redfin.com/WA/Seattle/2329-NE-123rd-St-98125/unit-B/home/116580,NWMLS,1588738,N,Y,47.717188,-122.303485
