SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,4607 Woodlawn Ave N,Seattle,WA,98103,970000,3,1.75,Wallingford,2364,2712,1928,1,410,,Active,,,http://www.redfin.com/WA/Seattle/4607-Woodlawn-Ave-N-98103/home/117882,NWMLS,1655836,N,Y,47.6624453,-122.3393822
MLS Listing,,Townhouse,1820 E Union St,Seattle,WA,98122,850000,3,2.25,Capitol Hill,1450,1051,2017,1,586,,Active,,,http://www.redfin.com/WA/Seattle/1820-E-Union-St-98122/home/59703833,NWMLS,1660009,N,Y,47.6130605,-122.3079521
MLS Listing,,Condo/Co-op,3717 Beach Dr SW #303,Seattle,WA,98116,572000,2,1.5,Alki,1080,,1968,1,530,688,Active,,,http://www.redfin.com/WA/Seattle/3717-Beach-Dr-SW-98116/unit-303/home/10241,NWMLS,1660184,N,Y,47.5705744,-122.4115931
MLS Listing,,Condo/Co-op,76 Cedar St #505,Seattle,WA,98121,499950,1,1.5,Belltown,918,,2008,1,545,646,Active,,,http://www.redfin.com/WA/Seattle/76-Cedar-St-98121/unit-505/home/12537819,NWMLS,1661740,N,Y,47.6156052,-122.3516944
MLS Listing,,Townhouse,2011 E Denny Way Unit A,Seattle,WA,98122,1038000,3,2.25,Seattle,1971,1652,2015,1,527,,Active,,,http://www.redfin.com/WA/Seattle/2011-E-Denny-Way-98112/unit-A/home/59703130,NWMLS,1661988,N,Y,47.6183583,-122.3055591
MLS Listing,,Condo/Co-op,1321 Seneca St #1106,Seattle,WA,98101,685000,1,1.0,Downtown,743,,2016,1,922,630,Active,,,http://www.redfin.com/WA/Seattle/1321-Seneca-St-98101/unit-1106/home/108572985,NWMLS,1661979,N,Y,47.6118651,-122.3231225
MLS Listing,,Townhouse,1108 Taylor Ave N Unit C,Seattle,WA,98109,1142000,5,2.0,Queen Anne,2300,1205,2008,1,497,,Active,,,http://www.redfin.com/WA/Seattle/1108-Taylor-Ave-N-98109/unit-C/home/18660897,NWMLS,1660308,N,Y,47.62921,-122.3457109
MLS Listing,,Single Family Residential,5819 7th Ave NW,Seattle,WA,98107,1099950,4,2.0,Ballard,2080,5000,1924,1,529,,Active,,,http://www.redfin.com/WA/Seattle/5819-7th-Ave-NW-98107/home/493355,NWMLS,1659911,N,Y,47.67153,-122.3653518
MLS Listing,,Townhouse,2560 14th Ave W Unit C,Seattle,WA,98119,850000,2,2.25,Queen Anne,1700,976,2014,1,500,,Active,,,http://www.redfin.com/WA/Seattle/2560-14th-Ave-W-98119/unit-C/home/18657155,NWMLS,1659896,N,Y,47.6425429,-122.3746095
MLS Listing,,Townhouse,2517 30th Ave S Unit B,Seattle,WA,98144,625000,2,1.5,Mt Baker,930,3870,2008,1,672,,Active,,,http://www.redfin.com/WA/Seattle/2517-30th-Ave-S-98144/unit-B/home/17382257,NWMLS,1660309,N,Y,47.5804982,-122.294786
MLS Listing,,Townhouse,8449 25th Ave SW Unit C,Seattle,WA,98106,300000,2,1.5,Delridge,1014,,1979,1,296,380,Active,,,http://www.redfin.com/WA/Seattle/8449-25th-Ave-SW-98106/unit-C/home/144779186,NWMLS,1659972,N,Y,47.5268128,-122.3649244
MLS Listing,,Single Family Residential,11744 Fremont Ave N,Seattle,WA,98133,735000,3,1.75,Bitter Lake,1780,6840,1946,1,413,,Active,,,http://www.redfin.com/WA/Seattle/11744-Fremont-Ave-N-98133/home/98086,NWMLS,1659288,N,Y,47.7154766,-122.3499129
MLS Listing,,Single Family Residential,820 S Rose St,Seattle,WA,98108,525000,3,1.0,South Park,1440,9375,1950,1,365,,Active,,,http://www.redfin.com/WA/Seattle/820-S-Rose-St-98108/home/477623,NWMLS,1658175,N,Y,47.5292095,-122.3219175
MLS Listing,,Single Family Residential,6101 34th Ave NW,Seattle,WA,98107,1195000,4,2.5,Sunset Hill,3180,5200,1904,1,376,,Active,,,http://www.redfin.com/WA/Seattle/6101-34th-Ave-NW-98107/home/161860,NWMLS,1660162,N,Y,47.6731327,-122.4012896
MLS Listing,,Townhouse,844 NE 66th St Unit B,Seattle,WA,98115,614950,2,1.5,Roosevelt,970,1231,2005,1,634,,Active,,,http://www.redfin.com/WA/Seattle/844-NE-66th-St-98115/unit-B/home/2092273,NWMLS,1660857,N,Y,47.6767314,-122.3181168
MLS Listing,,Single Family Residential,1712 Sunset Ave SW,Seattle,WA,98116,1021200,4,2.5,West Seattle,2720,3655,1928,2,375,,Active,,,http://www.redfin.com/WA/Seattle/1712-Sunset-Ave-SW-98116/home/149663,NWMLS,1660848,N,Y,47.5873455,-122.3919885
MLS Listing,,Single Family Residential,2853 SW Adams St,Seattle,WA,98126,545000,3,1.0,Delridge,1880,3774,1917,2,290,,Active,,,http://www.redfin.com/WA/Seattle/2853-SW-Adams-St-98126/home/159455,NWMLS,1660212,N,Y,47.566,-122.3703674
MLS Listing,,Single Family Residential,3430 49th Ave SW,Seattle,WA,98116,649000,3,1.5,Admiral,1720,6466,1950,2,377,,Active,,,http://www.redfin.com/WA/Seattle/3430-49th-Ave-SW-98116/home/329541,NWMLS,1659871,N,Y,47.5729778,-122.3944088
MLS Listing,,Single Family Residential,8143 Delridge Way SW,Seattle,WA,98106,674900,4,2.5,West Seattle,2248,1751,2016,7,300,,Active,,,http://www.redfin.com/WA/Seattle/8143-Delridge-Way-SW-98106/home/112863523,NWMLS,1657307,N,Y,47.5288967,-122.3606985
MLS Listing,,Condo/Co-op,2717 Western Ave #628,Seattle,WA,98121,449000,1,1.0,Belltown,658,,2001,8,682,386,Active,,,http://www.redfin.com/WA/Seattle/2717-Western-Ave-98121/unit-628/home/12008,NWMLS,1655733,N,Y,47.6152233,-122.3521882
MLS Listing,,Townhouse,5030 Delridge Way SW Unit B,Seattle,WA,98106,549000,3,3.25,West Seattle,1752,1103,2007,8,313,,Active,,,http://www.redfin.com/WA/Seattle/5030-Delridge-Way-SW-98106/unit-B/home/22808029,NWMLS,1656377,N,Y,47.556556,-122.3624762
MLS Listing,,Condo/Co-op,4422 Bagley Ave N #104,Seattle,WA,98103,499950,1,1.0,Wallingford,765,,2006,9,654,354,Active,,,http://www.redfin.com/WA/Seattle/4422-Bagley-Ave-N-98103/unit-104/home/2116933,NWMLS,1656326,N,Y,47.6609749,-122.3322016
MLS Listing,,Multi-Family (2-4 Unit),1006 W Emerson St,Seattle,WA,98119,1375000,6,3.0,Queen Anne,2850,5390,1968,10,482,,Active,,,http://www.redfin.com/WA/Seattle/1006-W-Emerson-St-98119/home/130204,NWMLS,1646971,N,Y,47.6535111,-122.3709023
MLS Listing,,Single Family Residential,2309 S Graham St,Seattle,WA,98108,1100000,4,3.0,Beacon Hill,2970,5300,2020,14,370,,Active,,,http://www.redfin.com/WA/Seattle/2309-S-Graham-St-98108/home/482324,NWMLS,1650962,N,Y,47.5462025,-122.3038966
MLS Listing,,Single Family Residential,2311 S Graham St,Seattle,WA,98108,1100000,4,3.0,Beacon Hill,2980,5300,2020,14,369,,Active,,,http://www.redfin.com/WA/Seattle/2311-S-Graham-St-98108/home/170003684,NWMLS,1652037,N,Y,47.5461609,-122.3037719
MLS Listing,,Single Family Residential,2416 3rd Ave W,Seattle,WA,98119,1599999,4,2.5,Queen Anne,3170,5400,1911,14,505,,Active,,,http://www.redfin.com/WA/Seattle/2416-3rd-Ave-W-98119/home/131576,NWMLS,1653743,N,Y,47.6401442,-122.360614
MLS Listing,,Condo/Co-op,1617 Summit Ave #22,Seattle,WA,98122,649950,2,1.75,Broadway,1030,,1986,14,631,450,Active,,,http://www.redfin.com/WA/Seattle/1617-Summit-Ave-98122/unit-22/home/58542,NWMLS,1652162,N,Y,47.6158468,-122.3259019
MLS Listing,,Townhouse,4222 SW Spokane St,Seattle,WA,98116,679000,3,2.25,North Admiral,1409,600,2013,14,482,,Active,,,http://www.redfin.com/WA/Seattle/4222-SW-Spokane-St-98116/home/50268002,NWMLS,1654159,N,Y,47.5721465,-122.386331
MLS Listing,,Single Family Residential,2048 NW 61st St Unit C,Seattle,WA,98107,815000,2,1.75,Ballard,1497,1503,2018,14,544,,Active,,,http://www.redfin.com/WA/Seattle/2048-NW-61st-St-98107/unit-C/home/165088081,NWMLS,1653504,N,Y,47.673314,-122.3842053
MLS Listing,,Single Family Residential,1821 23rd Ave E,Seattle,WA,98112,1460000,3,2.25,Montlake,2040,2320,1927,14,716,,Active,,,http://www.redfin.com/WA/Seattle/1821-23rd-Ave-E-98112/home/137887,NWMLS,1652854,N,Y,47.6364021,-122.3025076
MLS Listing,,Townhouse,1112 10th Ave E Unit C,Seattle,WA,98102,849950,3,2.5,Capitol Hill,1570,1255,2005,14,541,,Active,,,http://www.redfin.com/WA/Seattle/1112-10th-Ave-E-98102/unit-C/home/2086730,NWMLS,1652185,N,Y,47.6290882,-122.3197632
MLS Listing,,Condo/Co-op,5450 Leary Ave NW #642,Seattle,WA,98107,419000,1,1.0,Ballard,531,,2007,14,789,286,Active,,,http://www.redfin.com/WA/Seattle/5450-Leary-Ave-NW-98107/unit-642/home/17381728,NWMLS,1653164,N,Y,47.6680741,-122.3831385
MLS Listing,,Condo/Co-op,1758 Dexter Ave N #5,Seattle,WA,98109,619950,2,0.75,Westlake,1149,,1962,15,540,440,Active,,,http://www.redfin.com/WA/Seattle/1758-Dexter-Ave-N-98109/unit-5/home/21750,NWMLS,1652171,N,Y,47.6357692,-122.3419544
MLS Listing,,Single Family Residential,736 NE 56th St,Seattle,WA,98105,799000,4,1.75,University District,2330,4500,1941,21,343,,Active,,,http://www.redfin.com/WA/Seattle/736-NE-56th-St-98105/home/312070,NWMLS,1650511,N,Y,47.6695545,-122.3211721
MLS Listing,,Single Family Residential,6803 Seward Park Ave S,Seattle,WA,98118,1325000,4,2.5,Seward Park,3012,5051,2016,21,440,,Active,,,http://www.redfin.com/WA/Seattle/6803-Seward-Park-Ave-S-98118/home/491197,NWMLS,1650646,N,Y,47.5413855,-122.2656881
MLS Listing,,Condo/Co-op,588 Bell St Unit 209S,Seattle,WA,98121,824950,2,1.75,Denny Triangle,1092,,2015,22,755,903,Active,,,http://www.redfin.com/WA/Seattle/588-Bell-St-98121/unit-209/home/106723693,NWMLS,1650601,N,Y,47.6167409,-122.3424215
MLS Listing,,Condo/Co-op,2414 1st Ave #618,Seattle,WA,98121,370000,1,1.0,Belltown,466,,1994,22,794,383,Active,,,http://www.redfin.com/WA/Seattle/2414-1st-Ave-98121/unit-618/home/61268,NWMLS,1648885,N,Y,47.614607,-122.3481121
MLS Listing,,Single Family Residential,2638 32nd Ave W,Seattle,WA,98199,1299950,5,2.75,Magnolia,2820,5580,1949,22,461,,Active,,,http://www.redfin.com/WA/Seattle/2638-32nd-Ave-W-98199/home/128979,NWMLS,1649947,N,Y,47.6443521,-122.397913
MLS Listing,,Townhouse,913 N 50th St Unit A,Seattle,WA,98103,805000,3,2.0,Wallingford,1470,1194,2018,22,548,,Active,,,http://www.redfin.com/WA/Seattle/913-N-50th-St-98103/unit-A/home/171935477,NWMLS,1648357,N,Y,47.6648209,-122.3467047
MLS Listing,,Condo/Co-op,2215 14th Ave W #6,Seattle,WA,98119,425000,2,0.75,Queen Anne,829,,1980,22,513,390,Active,,,http://www.redfin.com/WA/Seattle/2215-14th-Ave-W-98119/unit-6/home/2076921,NWMLS,1649020,N,Y,47.6390671,-122.3753408
MLS Listing,,Condo/Co-op,601 W Mercer Pl #204,Seattle,WA,98119,560000,2,1.5,Queen Anne,838,,1995,24,668,348,Active,,,http://www.redfin.com/WA/Seattle/601-W-Mercer-Pl-98119/unit-204/home/38947,NWMLS,1648692,N,Y,47.6252017,-122.3651585
MLS Listing,,Single Family Residential,4510 Cascadia Ave S,Seattle,WA,98118,735000,3,2.5,Columbia City,1790,3000,2002,24,411,,Active,,,http://www.redfin.com/WA/Seattle/4510-Cascadia-Ave-S-98118/home/491648,NWMLS,1648937,N,Y,47.5624814,-122.2824349
MLS Listing,,Condo/Co-op,7 Harrison St #26,Seattle,WA,98109,199900,0,1.0,Queen Anne,480,,1908,25,416,484,Active,,,http://www.redfin.com/WA/Seattle/7-Harrison-St-98109/unit-26/home/40065234,NWMLS,1647446,N,Y,47.6219296,-122.3563932
MLS Listing,,Condo/Co-op,2100 3rd Ave #1401,Seattle,WA,98121,524900,2,1.75,Belltown,969,,1973,28,542,620,Active,,,http://www.redfin.com/WA/Seattle/2100-3rd-Ave-98121/unit-1401/home/8153,NWMLS,1647603,N,Y,47.6135579,-122.3422119
MLS Listing,,Single Family Residential,7508 32nd Ave SW,Seattle,WA,98126,575000,4,2.0,West Seattle,1230,6428,1919,28,467,,Active,,,http://www.redfin.com/WA/Seattle/7508-32nd-Ave-SW-98126/home/473676,NWMLS,1646271,N,Y,47.5352335,-122.373531
MLS Listing,,Single Family Residential,8811 38th Ave SW,Seattle,WA,98126,1250000,5,1.75,Fauntleroy,3430,12900,1928,28,364,,Active,,,http://www.redfin.com/WA/Seattle/8811-38th-Ave-SW-98126/home/156866,NWMLS,1647034,N,Y,47.5242993,-122.3809412
