video_id,video,method,metric_name,metric_value
1,boxing-fisheye,ours,psnr,22.45946437
2,longboard,ours,psnr,23.17543981
3,lady-running,ours,psnr,23.28711185
4,cat-girl,ours,psnr,23.44156823
5,walking,ours,psnr,23.79523242
6,scooter-black,ours,psnr,24.75234348
7,dogs-scale,ours,psnr,24.95421531
8,rallye,ours,psnr,26.45567675
9,motorbike,ours,psnr,26.80093306
10,drift-straight,ours,psnr,27.146376
11,mallard-water,ours,psnr,27.32239989
12,scooter-board,ours,psnr,27.54440843
13,bear,ours,psnr,27.69848778
14,varanus-cage,ours,psnr,28.11854364
15,horsejump-low,ours,psnr,28.59935869
16,schoolgirls,ours,psnr,29.10266918
17,car-turn,ours,psnr,29.24943136
18,motocross-jump,ours,psnr,29.28419786
19,car-shadow,ours,psnr,29.29894943
20,tennis,ours,psnr,29.61788242
21,crossing,ours,psnr,29.6874951
22,bus,ours,psnr,29.90457556
23,motocross-bumps,ours,psnr,30.24444591
24,train,ours,psnr,30.44766941
25,camel,ours,psnr,30.49692699
26,breakdance,ours,psnr,30.56578757
27,mallard-fly,ours,psnr,30.57924797
28,upside-down,ours,psnr,30.6543494
29,classic-car,ours,psnr,30.78573267
30,gold-fish,ours,psnr,30.78642464
31,bike-packing,ours,psnr,30.84500621
32,paragliding-launch,ours,psnr,30.86882583
33,bmx-trees,ours,psnr,30.94963804
34,flamingo,ours,psnr,30.9737486
35,tractor-sand,ours,psnr,30.9952335
36,dogs-jump,ours,psnr,31.20658682
37,horsejump-high,ours,psnr,31.36191853
38,dog-agility,ours,psnr,31.44416327
39,disc-jockey,ours,psnr,31.5913992
40,hike,ours,psnr,31.73158417
41,miami-surf,ours,psnr,31.88640991
42,dance-jump,ours,psnr,31.93253211
43,lindy-hop,ours,psnr,32.0725525
44,tuk-tuk,ours,psnr,32.09584282
45,judo,ours,psnr,32.10486845
46,blackswan,ours,psnr,32.27996607
47,boat,ours,psnr,32.31894575
48,car-roundabout,ours,psnr,32.33772798
49,loading,ours,psnr,32.35115905
50,night-race,ours,psnr,32.36733056
51,dancing,ours,psnr,32.40679395
52,paragliding,ours,psnr,32.5315551
53,kite-walk,ours,psnr,32.53983814
54,libby,ours,psnr,32.64675823
55,drift-turn,ours,psnr,32.73534735
56,rollerblade,ours,psnr,32.76073742
57,kid-football,ours,psnr,32.9288188
58,drift-chicane,ours,psnr,33.11712102
59,lucia,ours,psnr,33.32348327
60,color-run,ours,psnr,33.40038886
61,lab-coat,ours,psnr,33.72673429
62,hockey,ours,psnr,33.83188831
63,elephant,ours,psnr,34.021636
64,dog-gooses,ours,psnr,34.17712282
65,planes-water,ours,psnr,34.87148068
66,india,ours,psnr,35.05921401
67,dog,ours,psnr,35.06715079
68,swing,ours,psnr,35.1629885
69,kite-surf,ours,psnr,36.17648477
70,mbike-trick,ours,psnr,36.66294276
71,pigs,ours,psnr,37.67918434
72,breakdance-flare,ours,psnr,40.23881561
1,boxing-fisheye,Lee,psnr,22.01841479
2,longboard,Lee,psnr,22.79398151
3,lady-running,Lee,psnr,23.14946495
4,cat-girl,Lee,psnr,22.63921995
5,walking,Lee,psnr,25.98706169
6,scooter-black,Lee,psnr,24.00478593
7,dogs-scale,Lee,psnr,24.63141272
8,rallye,Lee,psnr,24.55527413
9,motorbike,Lee,psnr,26.09359359
10,drift-straight,Lee,psnr,25.87004377
11,mallard-water,Lee,psnr,23.21113832
12,scooter-board,Lee,psnr,26.79708833
13,bear,Lee,psnr,26.27656033
14,varanus-cage,Lee,psnr,25.47536672
15,horsejump-low,Lee,psnr,26.42661264
16,schoolgirls,Lee,psnr,30.4168284
17,car-turn,Lee,psnr,26.26266553
18,motocross-jump,Lee,psnr,27.82177463
19,car-shadow,Lee,psnr,28.07919722
20,tennis,Lee,psnr,28.04198863
21,crossing,Lee,psnr,25.90043898
22,bus,Lee,psnr,26.98675898
23,motocross-bumps,Lee,psnr,27.28316188
24,train,Lee,psnr,26.4459206
25,camel,Lee,psnr,26.44462265
26,breakdance,Lee,psnr,27.77572894
27,mallard-fly,Lee,psnr,26.55544352
28,upside-down,Lee,psnr,26.41349592
29,classic-car,Lee,psnr,31.86505534
30,gold-fish,Lee,psnr,27.30290604
31,bike-packing,Lee,psnr,27.93380427
32,paragliding-launch,Lee,psnr,25.59145748
33,bmx-trees,Lee,psnr,27.01881873
34,flamingo,Lee,psnr,26.1065695
35,tractor-sand,Lee,psnr,26.53862053
36,dogs-jump,Lee,psnr,29.52119577
37,horsejump-high,Lee,psnr,30.4691619
38,dog-agility,Lee,psnr,27.84283402
39,disc-jockey,Lee,psnr,28.63983208
40,hike,Lee,psnr,27.74966017
41,miami-surf,Lee,psnr,29.49019952
42,dance-jump,Lee,psnr,28.48209941
43,lindy-hop,Lee,psnr,29.51047806
44,tuk-tuk,Lee,psnr,29.53768831
45,judo,Lee,psnr,26.24647696
46,blackswan,Lee,psnr,28.6626774
47,boat,Lee,psnr,27.04615541
48,car-roundabout,Lee,psnr,30.60636931
49,loading,Lee,psnr,28.14907662
50,night-race,Lee,psnr,30.59178065
51,dancing,Lee,psnr,32.53227808
52,paragliding,Lee,psnr,28.7236494
53,kite-walk,Lee,psnr,28.58229669
54,libby,Lee,psnr,31.91842088
55,drift-turn,Lee,psnr,27.7393373
56,rollerblade,Lee,psnr,30.38988066
57,kid-football,Lee,psnr,28.6300998
58,drift-chicane,Lee,psnr,30.46534147
59,lucia,Lee,psnr,30.56577924
60,color-run,Lee,psnr,27.68794064
